LOCATION,TIME,Value
FRA,1990,55.21
FRA,1991,55.06
FRA,1992,55.11
FRA,1993,55.37
FRA,1994,55.00
FRA,1995,54.71
FRA,1996,55.13
FRA,1997,54.13
FRA,1998,53.96
FRA,1999,53.61
FRA,2000,53.86
FRA,2001,54.12
FRA,2002,53.97
FRA,2003,54.24
FRA,2004,54.05
FRA,2005,54.39
FRA,2006,54.24
FRA,2007,54.12
FRA,2008,54.47
FRA,2009,55.38
FRA,2010,55.36
FRA,2011,54.98
FRA,2012,54.72
FRA,2013,54.64
FRA,2014,54.31
FRA,2015,54.05
FRA,2016,54.26
FRA,2017,53.98
FRA,2018,53.89
FRA,2019,53.73
FRA,2020,53.38
BEL,1990,54.18
BEL,1991,54.78
BEL,1992,54.13
BEL,1993,53.66
BEL,1994,53.31
BEL,1995,53.06
BEL,1996,53.48
BEL,1997,52.66
BEL,1998,52.92
BEL,1999,52.07
BEL,2000,52.31
BEL,2001,52.41
BEL,2002,51.54
BEL,2003,51.19
BEL,2004,50.24
BEL,2005,50.19
BEL,2006,50.05
BEL,2007,49.65
BEL,2008,50.72
BEL,2009,51.37
BEL,2010,51.44
BEL,2011,51.54
BEL,2012,51.94
BEL,2013,52.46
BEL,2014,51.81
BEL,2015,51.34
BEL,2016,51.29
BEL,2017,51.48
BEL,2018,51.75
BEL,2019,51.40
BEL,2020,50.00
PRT,1990,63.88
PRT,1991,64.79
PRT,1992,65.77
PRT,1993,67.57
PRT,1994,66.56
PRT,1995,64.72
PRT,1996,65.03
PRT,1997,63.87
PRT,1998,63.02
PRT,1999,63.29
PRT,2000,63.40
PRT,2001,62.81
PRT,2002,62.71
PRT,2003,63.18
PRT,2004,63.62
PRT,2005,64.43
PRT,2006,64.59
PRT,2007,64.85
PRT,2008,66.21
PRT,2009,64.76
PRT,2010,65.93
PRT,2011,65.89
PRT,2012,66.46
PRT,2013,65.42
PRT,2014,66.14
PRT,2015,65.55
PRT,2016,65.43
PRT,2017,64.58
PRT,2018,64.27
PRT,2019,63.85
PRT,2020,64.02
ITA,1990,57.74
ITA,1991,58.01
ITA,1992,58.97
ITA,1993,58.49
ITA,1994,59.00
ITA,1995,58.86
ITA,1996,58.50
ITA,1997,59.10
ITA,1998,59.70
ITA,1999,60.44
ITA,2000,60.55
ITA,2001,59.49
ITA,2002,59.13
ITA,2003,59.39
ITA,2004,58.99
ITA,2005,59.31
ITA,2006,59.38
ITA,2007,59.07
ITA,2008,59.43
ITA,2009,60.43
ITA,2010,60.73
ITA,2011,61.12
ITA,2012,61.30
ITA,2013,60.90
ITA,2014,60.61
ITA,2015,60.77
ITA,2016,60.12
ITA,2017,60.25
ITA,2018,60.18
ITA,2019,60.00
ITA,2020,57.95
DEU,1990,56.35
DEU,1991,56.04
DEU,1992,56.02
DEU,1993,56.66
DEU,1994,56.19
DEU,1995,55.84
DEU,1996,56.31
DEU,1997,56.19
DEU,1998,55.65
DEU,1999,56.20
DEU,2000,56.30
DEU,2001,56.46
DEU,2002,55.74
DEU,2003,56.46
DEU,2004,56.14
DEU,2005,56.54
DEU,2006,55.69
DEU,2007,53.99
DEU,2008,54.22
DEU,2009,56.44
DEU,2010,55.11
DEU,2011,54.39
DEU,2012,54.91
DEU,2013,54.56
DEU,2014,53.42
DEU,2015,52.97
DEU,2016,52.75
DEU,2017,52.27
DEU,2018,52.30
DEU,2019,52.39
DEU,2020,51.30
DNK,1990,49.74
DNK,1991,49.92
DNK,1992,49.99
DNK,1993,49.79
DNK,1994,50.94
DNK,1995,50.55
DNK,1996,50.17
DNK,1997,49.94
DNK,1998,50.14
DNK,1999,48.75
DNK,2000,47.06
DNK,2001,46.71
DNK,2002,46.94
DNK,2003,47.25
DNK,2004,47.73
DNK,2005,47.79
DNK,2006,47.40
DNK,2007,47.49
DNK,2008,47.39
DNK,2009,48.48
DNK,2010,47.61
DNK,2011,47.91
DNK,2012,48.04
DNK,2013,47.69
DNK,2014,47.16
DNK,2015,47.11
DNK,2016,46.67
DNK,2017,46.36
DNK,2018,46.72
DNK,2019,46.09
DNK,2020,45.38
SWE,1990,47.63
SWE,1991,49.29
SWE,1992,49.74
SWE,1993,50.85
SWE,1994,49.84
SWE,1995,48.02
SWE,1996,48.04
SWE,1997,47.96
SWE,1998,47.33
SWE,1999,47.51
SWE,2000,47.52
SWE,2001,47.05
SWE,2002,47.13
SWE,2003,46.94
SWE,2004,46.34
SWE,2005,46.54
SWE,2006,45.34
SWE,2007,44.91
SWE,2008,45.16
SWE,2009,47.57
SWE,2010,46.90
SWE,2011,46.48
SWE,2012,46.89
SWE,2013,47.04
SWE,2014,46.81
SWE,2015,46.04
SWE,2016,45.86
SWE,2017,45.72
SWE,2018,45.70
SWE,2019,45.29
SWE,2020,44.31
HUN,1991,54.95
HUN,1992,57.78
HUN,1993,59.80
HUN,1994,58.15
HUN,1995,53.99
HUN,1996,53.08
HUN,1997,51.50
HUN,1998,51.94
HUN,1999,54.32
HUN,2000,54.43
HUN,2001,53.97
HUN,2002,54.58
HUN,2003,56.32
HUN,2004,55.02
HUN,2005,54.82
HUN,2006,53.32
HUN,2007,54.37
HUN,2008,53.62
HUN,2009,53.63
HUN,2010,52.81
HUN,2011,53.00
HUN,2012,53.95
HUN,2013,52.32
HUN,2014,50.23
HUN,2015,49.11
HUN,2016,50.18
HUN,2017,50.20
HUN,2018,49.33
HUN,2019,49.08
HUN,2020,49.43
AUT,1990,55.92
AUT,1991,55.42
AUT,1992,56.11
AUT,1993,56.04
AUT,1994,55.70
AUT,1995,54.94
AUT,1996,55.51
AUT,1997,54.76
AUT,1998,54.30
AUT,1999,53.63
AUT,2000,53.87
AUT,2001,54.11
AUT,2002,53.54
AUT,2003,54.08
AUT,2004,53.86
AUT,2005,53.81
AUT,2006,53.22
AUT,2007,52.02
AUT,2008,51.83
AUT,2009,53.48
AUT,2010,53.50
AUT,2011,53.38
AUT,2012,53.46
AUT,2013,53.66
AUT,2014,53.40
AUT,2015,52.68
AUT,2016,52.26
AUT,2017,52.50
AUT,2018,51.92
AUT,2019,51.70
AUT,2020,50.03
CZE,1990,49.27
CZE,1991,47.36
CZE,1992,51.30
CZE,1993,49.92
CZE,1994,49.23
CZE,1995,48.70
CZE,1996,49.27
CZE,1997,51.11
CZE,1998,50.37
CZE,1999,50.77
CZE,2000,50.39
CZE,2001,49.70
CZE,2002,49.75
CZE,2003,49.90
CZE,2004,48.70
CZE,2005,47.80
CZE,2006,46.97
CZE,2007,46.06
CZE,2008,47.38
CZE,2009,48.63
CZE,2010,49.05
CZE,2011,49.23
CZE,2012,49.42
CZE,2013,49.57
CZE,2014,48.32
CZE,2015,47.16
CZE,2016,47.39
CZE,2017,47.35
CZE,2018,47.47
CZE,2019,47.32
CZE,2020,46.96
SVN,1990,52.27
SVN,1991,53.84
SVN,1992,54.16
SVN,1993,57.46
SVN,1994,55.68
SVN,1995,58.95
SVN,1996,58.42
SVN,1997,57.29
SVN,1998,56.86
SVN,1999,57.41
SVN,2000,56.31
SVN,2001,55.54
SVN,2002,54.91
SVN,2003,54.98
SVN,2004,53.82
SVN,2005,53.27
SVN,2006,51.10
SVN,2007,50.83
SVN,2008,51.06
SVN,2009,54.98
SVN,2010,56.16
SVN,2011,56.53
SVN,2012,57.49
SVN,2013,56.10
SVN,2014,54.98
SVN,2015,54.01
SVN,2016,54.00
SVN,2017,52.55
SVN,2018,52.09
SVN,2019,52.42
SVN,2020,49.15
SVK,1990,55.25
SVK,1991,52.44
SVK,1992,51.11
SVK,1993,56.62
SVK,1994,53.83
SVK,1995,53.28
SVK,1996,53.85
SVK,1997,52.55
SVK,1998,53.41
SVK,1999,54.42
SVK,2000,54.58
SVK,2001,55.90
SVK,2002,55.97
SVK,2003,54.18
SVK,2004,55.98
