CountryName,EU,Euro,Year,PurchasePower(USD)
Austria,1995,1999,1990,19425
Austria,1995,1999,1991,20567
Austria,1995,1999,1992,21241
Austria,1995,1999,1993,21679
Austria,1995,1999,1994,22587
Austria,1995,1999,1995,23640
Austria,1995,1999,1996,24500
Austria,1995,1999,1997,25418
Austria,1995,1999,1998,26674
Austria,1995,1999,1999,27606
Austria,1995,1999,2000,29389
Austria,1995,1999,2001,29716
Austria,1995,1999,2002,31179
Austria,1995,1999,2003,32111
Austria,1995,1999,2004,33746
Austria,1995,1999,2005,35014
Austria,1995,1999,2006,37612
Austria,1995,1999,2007,39383
Austria,1995,1999,2008,41316
Austria,1995,1999,2009,40948
Austria,1995,1999,2010,42041
Austria,1995,1999,2011,44453
Austria,1995,1999,2012,46457
Austria,1995,1999,2013,47922
Austria,1995,1999,2014,48800
Austria,1995,1999,2015,49866
Austria,1995,1999,2016,52684
Austria,1995,1999,2017,54343
Austria,1995,1999,2018,58851
Austria,1995,1999,2019,60418
Belgium,1958,1999,1990,18643
Belgium,1958,1999,1991,19554
Belgium,1958,1999,1992,20223
Belgium,1958,1999,1993,20423
Belgium,1958,1999,1994,21466
Belgium,1958,1999,1995,22392
Belgium,1958,1999,1996,22689
Belgium,1958,1999,1997,23724
Belgium,1958,1999,1998,24368
Belgium,1958,1999,1999,25441
Belgium,1958,1999,2000,27797
Belgium,1958,1999,2001,28801
Belgium,1958,1999,2002,30282
Belgium,1958,1999,2003,30901
Belgium,1958,1999,2004,32037
Belgium,1958,1999,2005,33178
Belgium,1958,1999,2006,35212
Belgium,1958,1999,2007,36747
Belgium,1958,1999,2008,37883
Belgium,1958,1999,2009,37777
Belgium,1958,1999,2010,39870
Belgium,1958,1999,2011,40942
Belgium,1958,1999,2012,42291
Belgium,1958,1999,2013,43671
Belgium,1958,1999,2014,44930
Belgium,1958,1999,2015,46201
Belgium,1958,1999,2016,48597
Belgium,1958,1999,2017,50597
Belgium,1958,1999,2018,54330
Belgium,1958,1999,2019,56349
Bulgaria,2007,,1990,7533
Bulgaria,2007,,1991,7201
Bulgaria,2007,,1992,6903
Bulgaria,2007,,1993,7018
Bulgaria,2007,,1994,7323
Bulgaria,2007,,1995,7724
Bulgaria,2007,,1996,6832
Bulgaria,2007,,1997,5748
Bulgaria,2007,,1998,6177
Bulgaria,2007,,1999,5808
Bulgaria,2007,,2000,6425
Bulgaria,2007,,2001,6962
Bulgaria,2007,,2002,7786
Bulgaria,2007,,2003,8408
Bulgaria,2007,,2004,9194
Bulgaria,2007,,2005,10291
Bulgaria,2007,,2006,11393
Bulgaria,2007,,2007,12796
Bulgaria,2007,,2008,14336
Bulgaria,2007,,2009,14192
Bulgaria,2007,,2010,14879
Bulgaria,2007,,2011,15667
Bulgaria,2007,,2012,16247
Bulgaria,2007,,2013,16589
Bulgaria,2007,,2014,17561
Bulgaria,2007,,2015,18343
Bulgaria,2007,,2016,20020
Bulgaria,2007,,2017,21456
Bulgaria,2007,,2018,23634
Bulgaria,2007,,2019,25312
Central Europe & Baltics,,,1990,7097
Central Europe & Baltics,,,1991,6653
Central Europe & Baltics,,,1992,6685
Central Europe & Baltics,,,1993,6956
Central Europe & Baltics,,,1994,7394
Central Europe & Baltics,,,1995,7975
Central Europe & Baltics,,,1996,8379
Central Europe & Baltics,,,1997,8700
Central Europe & Baltics,,,1998,9094
Central Europe & Baltics,,,1999,9393
Central Europe & Baltics,,,2000,10016
Central Europe & Baltics,,,2001,10799
Central Europe & Baltics,,,2002,11625
Central Europe & Baltics,,,2003,12322
Central Europe & Baltics,,,2004,13463
Central Europe & Baltics,,,2005,14302
Central Europe & Baltics,,,2006,15890
Central Europe & Baltics,,,2007,17727
Central Europe & Baltics,,,2008,19661
Central Europe & Baltics,,,2009,19701
Central Europe & Baltics,,,2010,20802
Central Europe & Baltics,,,2011,22181
Central Europe & Baltics,,,2012,22963
Central Europe & Baltics,,,2013,23954
Central Europe & Baltics,,,2014,24970
Central Europe & Baltics,,,2015,26122
Central Europe & Baltics,,,2016,27858
Central Europe & Baltics,,,2017,29975
Central Europe & Baltics,,,2018,32915
Central Europe & Baltics,,,2019,35131
Croatia,2013,,1990,
Croatia,2013,,1991,0
Croatia,2013,,1992,0
Croatia,2013,,1993,0
Croatia,2013,,1994,0
Croatia,2013,,1995,7996
Croatia,2013,,1996,8725
Croatia,2013,,1997,9467
Croatia,2013,,1998,9822
Croatia,2013,,1999,9868
Croatia,2013,,2000,10587
Croatia,2013,,2001,11551
Croatia,2013,,2002,12647
Croatia,2013,,2003,13550
Croatia,2013,,2004,14533
Croatia,2013,,2005,15301
Croatia,2013,,2006,17421
Croatia,2013,,2007,19319
Croatia,2013,,2008,20769
Croatia,2013,,2009,20010
Croatia,2013,,2010,19815
Croatia,2013,,2011,20804
Croatia,2013,,2012,21169
Croatia,2013,,2013,21821
Croatia,2013,,2014,22061
Croatia,2013,,2015,23005
Croatia,2013,,2016,24876
Croatia,2013,,2017,26886
Croatia,2013,,2018,29456
Croatia,2013,,2019,31131
Cyprus,2004,2008,1990,13324
Cyprus,2004,2008,1991,13522
Cyprus,2004,2008,1992,14733
Cyprus,2004,2008,1993,14825
Cyprus,2004,2008,1994,15707
Cyprus,2004,2008,1995,17065
Cyprus,2004,2008,1996,17289
Cyprus,2004,2008,1997,17775
Cyprus,2004,2008,1998,18758
Cyprus,2004,2008,1999,19663
Cyprus,2004,2008,2000,21297
Cyprus,2004,2008,2001,22872
Cyprus,2004,2008,2002,23556
Cyprus,2004,2008,2003,24253
Cyprus,2004,2008,2004,25921
Cyprus,2004,2008,2005,27763
Cyprus,2004,2008,2006,29979
Cyprus,2004,2008,2007,32847
Cyprus,2004,2008,2008,34830
Cyprus,2004,2008,2009,33917
Cyprus,2004,2008,2010,33446
Cyprus,2004,2008,2011,33314
Cyprus,2004,2008,2012,31835
Cyprus,2004,2008,2013,30375
Cyprus,2004,2008,2014,30043
Cyprus,2004,2008,2015,31722
Cyprus,2004,2008,2016,35389
Cyprus,2004,2008,2017,37767
Cyprus,2004,2008,2018,39737
Cyprus,2004,2008,2019,41254
Czech Republic,2004,,1990,12773
Czech Republic,2004,,1991,11699
Czech Republic,2004,,1992,11893
Czech Republic,2004,,1993,12170
Czech Republic,2004,,1994,12787
Czech Republic,2004,,1995,13826
Czech Republic,2004,,1996,14654
Czech Republic,2004,,1997,14819
Czech Republic,2004,,1998,14977
Czech Republic,2004,,1999,15396
Czech Republic,2004,,2000,16243
Czech Republic,2004,,2001,17629
Czech Republic,2004,,2002,18253
Czech Republic,2004,,2003,19518
Czech Republic,2004,,2004,20915
Czech Republic,2004,,2005,22095
Czech Republic,2004,,2006,23892
Czech Republic,2004,,2007,26250
Czech Republic,2004,,2008,27974
Czech Republic,2004,,2009,27782
Czech Republic,2004,,2010,27903
Czech Republic,2004,,2011,29001
Czech Republic,2004,,2012,29255
Czech Republic,2004,,2013,30818
Czech Republic,2004,,2014,32502
Czech Republic,2004,,2015,33899
Czech Republic,2004,,2016,36098
Czech Republic,2004,,2017,38949
Czech Republic,2004,,2018,42425
Czech Republic,2004,,2019,44296
Denmark,1973,,1990,18200
Denmark,1973,,1991,19028
Denmark,1973,,1992,19777
Denmark,1973,,1993,20180
Denmark,1973,,1994,21637
Denmark,1973,,1995,22641
Denmark,1973,,1996,23683
Denmark,1973,,1997,24920
Denmark,1973,,1998,25813
Denmark,1973,,1999,26654
Denmark,1973,,2000,28671
Denmark,1973,,2001,29450
Denmark,1973,,2002,30640
Denmark,1973,,2003,30789
Denmark,1973,,2004,32911
Denmark,1973,,2005,34150
Denmark,1973,,2006,37284
Denmark,1973,,2007,38959
Denmark,1973,,2008,41278
Denmark,1973,,2009,40361
Denmark,1973,,2010,43036
Denmark,1973,,2011,44403
Denmark,1973,,2012,44804
Denmark,1973,,2013,46727
Denmark,1973,,2014,47901
Denmark,1973,,2015,49045
Denmark,1973,,2016,51976
Denmark,1973,,2017,55533
Denmark,1973,,2018,59276
Denmark,1973,,2019,62090
Estonia,2004,2011,1990,
Estonia,2004,2011,1991,0
Estonia,2004,2011,1992,0
Estonia,2004,2011,1993,5791
Estonia,2004,2011,1994,5943
Estonia,2004,2011,1995,6457
Estonia,2004,2011,1996,6866
Estonia,2004,2011,1997,7966
Estonia,2004,2011,1998,8438
Estonia,2004,2011,1999,8420
Estonia,2004,2011,2000,9438
Estonia,2004,2011,2001,10326
Estonia,2004,2011,2002,11670
Estonia,2004,2011,2003,13124
Estonia,2004,2011,2004,14522
Estonia,2004,2011,2005,16625
Estonia,2004,2011,2006,19307
Estonia,2004,2011,2007,22165
Estonia,2004,2011,2008,22830
Estonia,2004,2011,2009,20609
Estonia,2004,2011,2010,21812
Estonia,2004,2011,2011,24777
Estonia,2004,2011,2012,26191
Estonia,2004,2011,2013,27643
Estonia,2004,2011,2014,29136
Estonia,2004,2011,2015,29389
Estonia,2004,2011,2016,31577
Estonia,2004,2011,2017,33964
Estonia,2004,2011,2018,37473
Estonia,2004,2011,2019,39986
Euro area,,,1990,16974
Euro area,,,1991,17932
Euro area,,,1992,18508
Euro area,,,1993,18742
Euro area,,,1994,19555
Euro area,,,1995,20403
Euro area,,,1996,21028
Euro area,,,1997,21909
Euro area,,,1998,22961
Euro area,,,1999,23841
Euro area,,,2000,25325
Euro area,,,2001,26505
Euro area,,,2002,27534
Euro area,,,2003,27955
Euro area,,,2004,29054
Euro area,,,2005,30077
Euro area,,,2006,32491
Euro area,,,2007,34377
Euro area,,,2008,35710
Euro area,,,2009,34814
Euro area,,,2010,35802
Euro area,,,2011,37438
Euro area,,,2012,37805
Euro area,,,2013,38985
Euro area,,,2014,39951
Euro area,,,2015,41036
Euro area,,,2016,43545
Euro area,,,2017,45745
Euro area,,,2018,49052
Euro area,,,2019,50675
European Union,,,1990,14792
European Union,,,1991,15462
European Union,,,1992,15927
European Union,,,1993,16170
European Union,,,1994,16915
European Union,,,1995,17718
European Union,,,1996,18308
European Union,,,1997,19063
European Union,,,1998,19968
European Union,,,1999,20746
European Union,,,2000,22082
European Union,,,2001,23176
European Union,,,2002,24186
European Union,,,2003,24680
European Union,,,2004,25840
European Union,,,2005,26812
European Union,,,2006,29084
European Union,,,2007,30992
European Union,,,2008,32487
European Union,,,2009,31833
European Union,,,2010,32887
European Union,,,2011,34472
European Union,,,2012,34936
European Union,,,2013,36085
European Union,,,2014,37074
European Union,,,2015,38217
European Union,,,2016,40585
European Union,,,2017,42799
European Union,,,2018,46046
European Union,,,2019,47828
Finland,1995,1999,1990,18102
Finland,1995,1999,1991,17517
Finland,1995,1999,1992,17229
Finland,1995,1999,1993,17436
Finland,1995,1999,1994,18434
Finland,1995,1999,1995,19540
Finland,1995,1999,1996,20038
Finland,1995,1999,1997,21787
Finland,1995,1999,1998,23576
Finland,1995,1999,1999,24767
Finland,1995,1999,2000,26796
Finland,1995,1999,2001,27808
Finland,1995,1999,2002,28605
Finland,1995,1999,2003,29022
Finland,1995,1999,2004,31176
Finland,1995,1999,2005,32052
Finland,1995,1999,2006,34409
Finland,1995,1999,2007,37792
Finland,1995,1999,2008,40084
Finland,1995,1999,2009,38000
Finland,1995,1999,2010,38986
Finland,1995,1999,2011,40917
Finland,1995,1999,2012,40873
Finland,1995,1999,2013,41493
Finland,1995,1999,2014,41757
Finland,1995,1999,2015,42498
Finland,1995,1999,2016,44934
Finland,1995,1999,2017,47644
Finland,1995,1999,2018,51318
Finland,1995,1999,2019,53172
France,1958,1999,1990,17609
France,1958,1999,1991,18294
France,1958,1999,1992,18915
France,1958,1999,1993,19159
France,1958,1999,1994,19955
France,1958,1999,1995,20727
France,1958,1999,1996,21306
France,1958,1999,1997,22236
France,1958,1999,1998,23358
France,1958,1999,1999,24307
France,1958,1999,2000,26102
France,1958,1999,2001,27502
France,1958,1999,2002,28524
France,1958,1999,2003,28144
France,1958,1999,2004,29036
France,1958,1999,2005,30499
France,1958,1999,2006,32425
France,1958,1999,2007,34080
France,1958,1999,2008,35095
France,1958,1999,2009,34704
France,1958,1999,2010,35930
France,1958,1999,2011,37441
France,1958,1999,2012,37679
France,1958,1999,2013,39524
France,1958,1999,2014,40144
France,1958,1999,2015,40850
France,1958,1999,2016,42925
France,1958,1999,2017,44755
France,1958,1999,2018,48136
France,1958,1999,2019,50993
Germany,1958,1999,1990,19416
Germany,1958,1999,1991,20945
Germany,1958,1999,1992,21669
Germany,1958,1999,1993,21821
Germany,1958,1999,1994,22741
Germany,1958,1999,1995,23508
Germany,1958,1999,1996,24019
Germany,1958,1999,1997,24564
Germany,1958,1999,1998,25344
Germany,1958,1999,1999,26291
Germany,1958,1999,2000,27211
Germany,1958,1999,2001,28381
Germany,1958,1999,2002,29179
Germany,1958,1999,2003,29877
Germany,1958,1999,2004,31308
Germany,1958,1999,2005,31794
Germany,1958,1999,2006,34115
Germany,1958,1999,2007,36243
Germany,1958,1999,2008,37802
Germany,1958,1999,2009,36843
Germany,1958,1999,2010,38982
Germany,1958,1999,2011,42542
Germany,1958,1999,2012,43360
Germany,1958,1999,2013,44994
Germany,1958,1999,2014,47012
Germany,1958,1999,2015,47610
Germany,1958,1999,2016,50580
Germany,1958,1999,2017,53122
