Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,17332,17785,18176,19118,20051,20877,21959,22925,24172,25265,26322,27374,28719,29735,31309,32576,34289,36545,37460,40301,39302,41966,42827,45903,46881,46289,47340,48634,51391,53382
Canada,20151,20146,20551,21364,22555,23403,23964,25167,26220,27746,29266,30108,30854,32220,33796,36212,37996,39453,40276,38796,40020,41570,42291,44299,45754,44671,46473,48491,50940,51669
Chile,4512,4953,5623,6120,6569,7352,8012,8638,8996,8978,9554,9973,10334,10842,11813,12747,15754,16942,16502,16160,18162,20343,21508,22440,22787,22699,23438,24549,25513,27003
Colombia,5013,5183,5409,5725,6071,6402,6536,6759,6759,6461,6691,6844,7019,7320,7807,8325,9036,9782,10180,10259,10732,11605,12019,12728,13308,13266,13860,14220,15056,16013
Iceland,21966,22397,21858,22440,23542,23933,24756,26904,28688,29524,29720,31776,32525,32622,35612,37234,39083,41151,43319,41928,39611,40768,41927,44158,45715,48842,53031,55275,58946,60133
Israel,15210,15950,16982,17625,18844,19900,20736,21406,22046,22585,24931,24919,25225,23819,25209,24832,25686,27483,27434,27487,28826,30540,31694,34146,34213,35439,37835,39023,41470,42898
Japan,19562,20850,21452,21793,22403,23410,24516,25147,25075,25326,26839,27473,28161,28925,30349,31664,33091,34502,34799,33199,34987,35775,37192,38975,39180,40389,39965,41094,42812,43594
Mexico,8082,8560,8937,8556,9015,8483,9077,9713,10174,10449,11090,11130,11188,11483,12086,12658,13809,14291,14925,14559,15261,16521,17163,17374,18057,18302,19324,19786,20349,20945
New Zealand,14860,14565,14917,15961,17094,17909,18464,19137,19341,20580,21515,22497,23307,23962,25081,25678,27763,29384,29863,30697,31261,32744,32997,36232,37277,37466,39981,42275,44661,45383
Norway,18417,19534,20574,21532,22972,24302,26760,28599,28186,30556,36953,37781,37981,38554,42515,47798,54089,55863,61717,55405,57964,62077,65355,66962,65893,60369,58940,64256,71445,70006
South Korea,8353,9472,10182,11027,12184,13498,14690,15717,14970,16808,18540,19714,21397,22085,23764,25187,26876,29051,29947,29530,31749,32547,33558,34245,35325,37903,39576,41111,43679,44012
Switzerland,27571,27892,28202,28573,29319,29877,30506,31805,32918,33815,35766,36779,37719,37717,39174,40573,45093,49735,52585,51797,53113,56184,57850,60109,61903,63922,65727,66911,70878,72377
Turkey,8510,8732,9312,10135,9632,10375,11107,11960,9103,8775,9634,9285,9402,9690,10971,12004,13731,14968,16183,15610,17556,19799,20772,22438,24090,25754,26515,28008,28832,28134
United States,23889,24343,25419,26388,27695,28691,29968,31460,32854,34514,36335,37134,38024,39497,41713,44115,46299,47976,48383,47100,48468,49887,51611,53118,55065,56840,57952,60063,62997,65298
Bulgaria,7533,7201,6904,7018,7323,7725,6832,5749,6178,5808,6425,6962,7787,8409,9194,10292,11393,12796,14336,14192,14880,15668,16248,16589,17562,18344,20020,21456,23635,25313
Croatia,0,0,0,0,0,7996,8725,9468,9822,9868,10588,11551,12647,13550,14534,15301,17422,19319,20769,20010,19815,20805,21169,21821,22061,23006,24877,26886,29456,31131
Romania,5268,4784,4505,4688,4984,5416,5732,5563,5545,5597,5851,6522,7163,7553,8983,9603,11542,13684,16783,16645,16990,17897,18870,19782,20658,21606,24272,27231,30175,33340
Czech Republic,12773,11700,11894,12170,12787,13826,14654,14820,14978,15397,16243,17629,18253,19518,20915,22096,23892,26251,27975,27782,27904,29002,29255,30819,32503,33900,36098,38949,42426,44296
Denmark,18200,19028,19777,20181,21638,22642,23683,24920,25814,26654,28671,29451,30641,30789,32912,34151,37285,38959,41279,40362,43036,44404,44804,46727,47902,49046,51977,55534,59277,62090
Hungary,0,8306,8238,8394,8838,9170,9330,9822,10398,10874,11859,13214,14527,15466,16231,17074,18338,19042,20697,20690,21717,23000,23207,24499,25643,26778,27912,29560,32835,34967
Poland,6171,5911,6179,6545,7023,7667,8258,8934,9488,10041,10677,11125,11805,12276,13343,13897,15133,16783,18304,19255,21089,22828,23746,24568,25476,26863,28323,30161,32988,35166
Sweden,20376,20682,20786,20719,21837,23051,23876,24798,25887,27472,29632,29941,30927,31783,33831,34245,37680,40856,42159,40310,42257,44609,45433,46313,47185,49104,50431,52114,55244,56633
United Kingdom,16992,17319,17737,18565,19640,20505,21827,23035,23637,24415,26416,27758,29069,30264,31968,32669,34757,35592,36661,35023,36372,37162,38312,39971,41266,42507,44167,45956,48691,49932
Cyprus,13324,13522,14733,14825,15707,17065,17289,17775,18759,19663,21297,22872,23557,24254,25922,27764,29980,32848,34831,33918,33446,33314,31835,30376,30043,31723,35389,37767,39738,41255
Malta,10092,10791,11436,12110,12946,13958,14626,15486,16220,16938,18364,18519,19600,20908,21528,22307,23290,25029,26524,26670,28745,28974,30244,32296,34345,37456,39696,42540,45535,47579
Austria,19426,20568,21242,21680,22588,23640,24501,25418,26674,27607,29389,29716,31179,32112,33746,35014,37612,39383,41317,40949,42042,44453,46458,47923,48800,49866,52685,54343,58851,60419
Belgium,18643,19554,20224,20424,21467,22393,22689,23725,24368,25441,27797,28801,30283,30902,32037,33178,35213,36747,37884,37778,39871,40943,42291,43672,44930,46201,48598,50597,54331,56349
Estonia,0,0,0,5791,5944,6457,6867,7967,8439,8420,9438,10327,11671,13124,14523,16625,19308,22165,22831,20609,21812,24778,26191,27643,29136,29390,31578,33965,37474,39987
Finland,18103,17517,17229,17436,18435,19540,20039,21787,23576,24768,26797,27808,28606,29022,31176,32052,34410,37793,40084,38001,38987,40917,40874,41494,41758,42498,44935,47645,51319,53172
France,17609,18294,18916,19159,19955,20728,21307,22236,23359,24308,26102,27502,28524,28144,29037,30499,32426,34080,35096,34704,35931,37441,37680,39524,40145,40850,42925,44756,48137,50993
Germany,19416,20945,21669,21822,22742,23508,24020,24565,25345,26292,27211,28381,29179,29878,31308,31795,34115,36244,37803,36843,38983,42542,43360,44994,47012,47610,50580,53122,56690,57531
Greece,13280,13986,14295,14315,14839,15396,16111,17150,18034,18465,19525,20964,22616,23872,25440,25578,28511,29285,30857,30382,28173,26142,25285,26098,26839,26896,27827,29234,31468,32507
Ireland,13727,14382,15098,15793,16991,18922,20455,22621,25059,26996,30187,32547,35213,36241,38673,40438,44192,46749,44284,41644,43332,44856,46257,47898,51068,69038,71929,78052,86801,89684
Italy,18593,19504,20101,20390,21269,22341,23003,23868,25021,25603,27085,28046,28737,29167,29531,30131,32411,34100,35524,34629,35186,36599,36487,36315,36195,36900,39927,41714,44472,45723
Latvia,0,0,0,0,0,5502,5789,6479,7061,7398,8034,9037,10069,11029,12240,13878,15800,18186,19520,16976,17657,19880,21408,22813,23804,24962,26711,28742,31772,33021
Lithuania,0,0,0,0,0,5917,6370,7068,7763,7821,8450,9441,10481,12056,13020,14511,16462,19072,20722,18131,20113,22885,24704,26722,28185,28835,30926,33870,37494,40017
Luxembourg,29640,32847,33756,35527,37163,39602,41295,42836,44396,50628,55366,55896,58772,60044,64057,68221,77929,83961,86694,82322,85686,92006,91623,95591,101298,103723,110661,112667,120326,124591
Netherlands,19129,20099,20751,21360,22327,23390,24456,26008,27708,29269,31885,33195,34448,34115,35781,37626,40959,43886,46421,44590,45079,46600,47273,49242,49234,50289,52289,55265,59729,61286
Portugal,11752,12709,13151,13171,13546,14372,14885,15784,16687,17719,18885,19534,20357,20830,21461,22726,24650,25702,26666,26479,27283,26770,26439,27937,28743,29661,31608,33151,36035,37919
Slovakia,0,0,7159,7453,8053,8677,9385,10083,10623,10715,11382,12392,13313,14167,15214,16640,18889,21197,23726,23098,25210,26083,26968,28003,28997,29920,29660,30190,32554,33516
