Country Name,Country Code,EU,Euro,OECD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,AUS,N,N,Y,17331.02529,17784.51196,18175.24943,19117.59946,20050.27639,20876.65666,21958.25505,22924.77481,24171.76719,25264.36436,26321.44645,27373.45972,28718.24108,29734.72088,31308.21052,32575.06925,34288.86369,36544.88598,37459.30765,40300.75555,39301.34112,41965.35842,42826.78958,45902.04795,46880.22066,46288.33448,47339.96921,48633.13322,51390.50285,53381.41901,
Canada,CAN,N,N,Y,20150.28502,20145.421,20550.04786,21363.07086,22554.70702,23402.88135,23963.39222,25166.87008,26219.95655,27745.80655,29265.25132,30107.70625,30853.20132,32219.45502,33795.6563,36211.0846,37995.16236,39452.00269,40275.9899,38795.47969,40019.92625,41569.44962,42290.96541,44298.57873,45753.75055,44670.08054,46472.34025,48490.3795,50939.39259,51668.91455,
Chile,CHL,N,N,Y,4511.170059,4952.538507,5622.777333,6119.380142,6568.780748,7351.828808,8011.571125,8637.33071,8995.765023,8977.117434,9553.566623,9972.651027,10333.06359,10841.32385,11812.63486,12746.58339,15753.96299,16941.83598,16501.80692,16159.60523,18161.80392,20342.57092,21507.7074,22439.27836,22786.6556,22698.54945,23437.59767,24548.1877,25512.76843,27002.26175,
Colombia,COL,N,N,Y,5012.221341,5182.769951,5408.870683,5724.016711,6070.674652,6401.813731,6535.529513,6758.270569,6758.525749,6460.906827,6690.373751,6843.739036,7018.082019,7319.543212,7806.050509,8324.754689,9035.56564,9781.970408,10179.24484,10258.97084,10731.64591,11604.10228,12018.65128,12727.76493,13307.4245,13265.79726,13859.08627,14219.53282,15055.6853,16012.44574,
Iceland,ISL,N,N,Y,21965.26976,22396.20723,21857.35251,22439.76749,23541.10373,23932.56185,24755.09004,26903.87378,28687.53557,29523.1903,29719.3599,31775.61683,32524.02376,32621.87728,35611.00681,37233.19829,39082.21478,41150.03484,43318.35248,41927.61314,39610.35841,40767.23551,41926.34161,44157.55211,45714.79265,48841.24121,53030.7962,55274.18912,58945.23419,60132.4543,
Israel,ISR,N,N,Y,15209.03682,15949.06642,16981.22869,17624.44301,18843.58151,19899.58828,20735.90492,21405.88021,22045.70113,22584.93853,24930.14062,24918.04789,25224.87873,23818.43355,25208.07899,24831.44992,25685.99456,27482.49565,27433.0635,27486.85346,28825.1062,30539.96337,31693.91787,34145.71261,34212.94449,35438.60803,37834.43818,39022.88802,41469.55077,42897.80928,
Japan,JPN,N,N,Y,19561.20185,20849.01768,21451.67401,21792.3356,22402.2663,23409.64003,24515.11628,25146.20043,25074.05769,25325.70726,26838.69136,27472.54712,28160.10761,28924.68216,30348.04174,31663.4531,33090.19626,34501.50901,34798.7659,33198.6164,34986.99454,35774.69671,37191.38595,38974.07949,39179.15561,40388.55277,39964.27701,41093.50063,42811.03637,43593.50506,
Mexico,MEX,N,N,Y,8081.836061,8559.900134,8936.047912,8555.64056,9014.381915,8482.613062,9076.087735,9712.091271,10173.16543,10448.8234,11089.81343,11129.86896,11187.47762,11482.44959,12085.7618,12657.63719,13808.17762,14290.06724,14924.82175,14558.24481,15260.62055,16520.25851,17162.92752,17373.89702,18056.79116,18301.49942,19323.66634,19785.90501,20348.78991,20944.02902,
New Zealand,NZL,N,N,Y,14859.2764,14564.5479,14916.92074,15960.88769,17093.6204,17908.77925,18463.78141,19136.91376,19340.89433,20579.36592,21514.47755,22496.75393,23306.27954,23961.41877,25080.03995,25677.41908,27762.1566,29383.81386,29862.73241,30696.60856,31260.85297,32743.90075,32996.34541,36231.10046,37276.94397,37465.39051,39980.84415,42274.40688,44660.5193,45382.12351,
Norway,NOR,N,N,Y,18416.46117,19533.269,20573.4346,21531.58258,22971.94738,24301.75817,26759.73341,28598.68799,28185.25027,30555.04906,36952.55415,37780.64417,37980.35398,38553.93245,42514.68599,47797.52995,54088.03684,55862.65642,61716.59971,55404.97455,57963.87594,62076.74066,65354.77925,66961.2531,65892.68928,60368.92087,58939.91261,64255.28265,71444.23761,70005.88858,
