LOCATION,TIME,HHEXP
Austria,1990,81049.464
Austria,1991,85839.52
Austria,1992,90732.737
Austria,1993,93192.497
Austria,1994,96856.547
Austria,1995,100089.188
Austria,1996,104973.949
Austria,1997,107445.424
Austria,1998,111900.805
Austria,1999,114549.447
Austria,2000,122795.498
Austria,2001,125175.576
Austria,2002,130389.127
Austria,2003,136346.695
Austria,2004,143575.284
Austria,2005,149903.894
Austria,2006,160028.68
Austria,2007,164105.918
Austria,2008,171924.459
Austria,2009,175996.574
Austria,2010,181210.266
Austria,2011,191942.49
Austria,2012,201680.9
Austria,2013,209858.166
Austria,2014,213990.236
Austria,2015,217724.211
Austria,2016,230844.623
Austria,2017,239973.075
Austria,2018,250904.357
Austria,2019,257734.874
Austria,2020,235802.309
Belgium,1990,99338.251
Belgium,1991,105728.218
Belgium,1992,108478.393
Belgium,1993,108883.914
Belgium,1994,113992.057
Belgium,1995,118530.574
Belgium,1996,121288.02
Belgium,1997,125163.939
Belgium,1998,129510.731
Belgium,1999,133231.336
Belgium,2000,146571.605
Belgium,2001,152653.946
Belgium,2002,158336.589
Belgium,2003,161105.982
Belgium,2004,164512.818
Belgium,2005,171080.808
Belgium,2006,182193.008
Belgium,2007,190063.02
Belgium,2008,201721.902
Belgium,2009,205345.853
Belgium,2010,219046.191
Belgium,2011,228343.129
Belgium,2012,239152.455
Belgium,2013,250664.007
Belgium,2014,255750.196
Belgium,2015,261909.531
Belgium,2016,276677.624
Belgium,2017,289412.783
Belgium,2018,305195.621
Belgium,2019,316422.805
Belgium,2020,291718.165
Czech Republic,1990,64730.738
Czech Republic,1991,56856.629
Czech Republic,1992,62668.267
Czech Republic,1993,62266.828
Czech Republic,1994,64215.131
Czech Republic,1995,68610.591
Czech Republic,1996,73442.633
Czech Republic,1997,76958.866
Czech Republic,1998,76605.657
Czech Republic,1999,79383.668
Czech Republic,2000,82873.889
Czech Republic,2001,88538.378
Czech Republic,2002,91568.514
Czech Republic,2003,98228.55
Czech Republic,2004,102637.1
Czech Republic,2005,106456.911
Czech Republic,2006,113313.845
Czech Republic,2007,122855.281
Czech Republic,2008,135878.927
Czech Republic,2009,139266.432
Czech Republic,2010,141513.365
Czech Republic,2011,147954.207
Czech Republic,2012,150042.579
Czech Republic,2013,158503.175
Czech Republic,2014,163097.912
Czech Republic,2015,166335.01
Czech Republic,2016,178189
Czech Republic,2017,191814.941
Czech Republic,2018,204027.423
Czech Republic,2019,213202.323
Czech Republic,2020,202634.406
Denmark,1990,45246.328
Denmark,1991,47568.22
Denmark,1992,49646.682
Denmark,1993,50566.146
Denmark,1994,55645.64
Denmark,1995,58135.043
Denmark,1996,60656.172
Denmark,1997,63772.226
Denmark,1998,66495.916
Denmark,1999,66964.594
Denmark,2000,69696.733
Denmark,2001,71243.356
Denmark,2002,74803.484
Denmark,2003,75863.651
Denmark,2004,82288.713
Denmark,2005,85791.448
Denmark,2006,93181.163
Denmark,2007,97997.886
Denmark,2008,104243.068
Denmark,2009,104578.695
Denmark,2010,109990.459
Denmark,2011,114610.019
Denmark,2012,116294.648
Denmark,2013,121088.911
Denmark,2014,123422.48
Denmark,2015,127207.994
Denmark,2016,134563.148
Denmark,2017,143457.908
Denmark,2018,150908.261
Denmark,2019,156892.027
Denmark,2020,152361.197
Finland,1990,43487.069
Finland,1991,44920.835
Finland,1992,45073.041
Finland,1993,45721.633
Finland,1994,47379.478
Finland,1995,48853.236
Finland,1996,50867.996
Finland,1997,53893.05
Finland,1998,57254.945
Finland,1999,59931.252
Finland,2000,63547.144
Finland,2001,65684.465
Finland,2002,68713.316
Finland,2003,71829.973
Finland,2004,76845.63
Finland,2005,79617.187
Finland,2006,86102.666
Finland,2007,92534.658
Finland,2008,100121.176
Finland,2009,100534.415
Finland,2010,104591.201
Finland,2011,111571.788
Finland,2012,113911.409
Finland,2013,116568.354
Finland,2014,118569.062
Finland,2015,121152.624
Finland,2016,128167.419
Finland,2017,133246.229
Finland,2018,139237.343
Finland,2019,143012.21
Finland,2020,134769.067
France,1990,551801.89
France,1991,574632.186
France,1992,596536.688
France,1993,609311.417
France,1994,632312.195
France,1995,654351.928
France,1996,679393.518
France,1997,698437.026
France,1998,733420.942
France,1999,761756.058
France,2000,827336.908
France,2001,881530.711
France,2002,917901.619
France,2003,917740.192
France,2004,951094.013
France,2005,1013479.036
France,2006,1081326.296
France,2007,1140543.168
France,2008,1189484.515
France,2009,1199304.858
France,2010,1246965.475
France,2011,1296344.39
France,2012,1303904.176
France,2013,1371760.051
France,2014,1390495.847
France,2015,1412537.157
France,2016,1493981.998
France,2017,1547944.134
France,2018,1619150.131
France,2019,1715523.298
France,2020,1582783.787
Germany,1990,846233.584
Germany,1991,916250.245
Germany,1992,953837.864
Germany,1993,977238.7
Germany,1994,1012443.464
Germany,1995,1042250.094
Germany,1996,1079845.78
Germany,1997,1102753.31
Germany,1998,1126553.214
Germany,1999,1179533.72
Germany,2000,1224210.252
Germany,2001,1283162.08
Germany,2002,1302951.43
Germany,2003,1351256.273
Germany,2004,1407909.499
Germany,2005,1440982.352
Germany,2006,1521605.315
Germany,2007,1565509.881
Germany,2008,1637109.459
Germany,2009,1655009.163
Germany,2010,1706657.985
Germany,2011,1804866.629
Germany,2012,1862008.485
Germany,2013,1926330.241
Germany,2014,1978186.292
Germany,2015,2004077.888
Germany,2016,2136854.908
Germany,2017,2223827.171
Germany,2018,2315999.714
Germany,2019,2363989.357
Germany,2020,2223409.854
Greece,1990,87076.119
Greece,1991,92461.28
Greece,1992,97501.256
Greece,1993,98815.576
Greece,1994,102763.689
Greece,1995,106793.942
Greece,1996,112532.612
Greece,1997,118096.799
Greece,1998,125541.342
Greece,1999,128334.137
Greece,2000,136689.395
Greece,2001,146041.334
Greece,2002,158539.103
Greece,2003,164453.152
Greece,2004,173656.389
Greece,2005,181327.662
Greece,2006,196141.93
Greece,2007,204505.94
Greece,2008,224744.474
Greece,2009,223591.769
Greece,2010,205177.012
Greece,2011,195139.125
Greece,2012,189825.112
Greece,2013,194814.132
Greece,2014,196279.383
Greece,2015,193618.531
Greece,2016,196991.086
Greece,2017,206729.925
Greece,2018,215422.071
Greece,2019,224004.747
Greece,2020,213046.862
Hungary,1991,46754.671
Hungary,1992,48559.226
Hungary,1993,50572.452
Hungary,1994,51546.717
Hungary,1995,50121.598
Hungary,1996,49985.963
Hungary,1997,50966.301
Hungary,1998,54102.614
Hungary,1999,59012.195
Hungary,2000,64166.687
Hungary,2001,70754.433
Hungary,2002,78428.732
Hungary,2003,85915.529
Hungary,2004,87737.448
Hungary,2005,91673.918
Hungary,2006,95744.528
Hungary,2007,101244.534
Hungary,2008,108414.721
Hungary,2009,108044.222
Hungary,2010,111425.932
Hungary,2011,117993.396
Hungary,2012,120422.612
Hungary,2013,122719.504
Hungary,2014,122955.849
Hungary,2015,124977.687
Hungary,2016,132726.32
Hungary,2017,139380.651
Hungary,2018,147312.659
Hungary,2019,156365.288
Hungary,2020,154654.83
Italy,1990,603569.709
Italy,1991,636437.751
Italy,1992,667458.574
Italy,1993,672034.893
