CountryName,Year,USD
OECD members,1990,16579
OECD members,1991,17211
OECD members,1992,17841
OECD members,1993,18326
OECD members,1994,19143
OECD members,1995,19917
OECD members,1996,20795
OECD members,1997,21761
OECD members,1998,22345
OECD members,1999,23217
OECD members,2000,24649
OECD members,2001,25412
OECD members,2002,26212
OECD members,2003,26971
OECD members,2004,28401
OECD members,2005,29746
OECD members,2006,31705
OECD members,2007,33244
OECD members,2008,34098
OECD members,2009,33214
OECD members,2010,34462
OECD members,2011,35885
OECD members,2012,36860
OECD members,2013,38161
OECD members,2014,39298
OECD members,2015,40416
OECD members,2016,41766
OECD members,2017,43458
OECD members,2018,45874
OECD members,2019,47209
European Union,1990,14792
European Union,1991,15462
European Union,1992,15927
European Union,1993,16170
European Union,1994,16915
European Union,1995,17718
European Union,1996,18308
European Union,1997,19063
European Union,1998,19968
European Union,1999,20746
European Union,2000,22082
European Union,2001,23176
European Union,2002,24186
European Union,2003,24680
European Union,2004,25840
European Union,2005,26812
European Union,2006,29084
European Union,2007,30992
European Union,2008,32487
European Union,2009,31833
European Union,2010,32887
European Union,2011,34472
European Union,2012,34936
European Union,2013,36085
European Union,2014,37074
European Union,2015,38217
European Union,2016,40585
European Union,2017,42799
European Union,2018,46046
European Union,2019,47828
Euro area,1990,16974
Euro area,1991,17932
Euro area,1992,18508
Euro area,1993,18742
Euro area,1994,19555
Euro area,1995,20403
Euro area,1996,21028
Euro area,1997,21909
Euro area,1998,22961
Euro area,1999,23841
Euro area,2000,25325
Euro area,2001,26505
Euro area,2002,27534
Euro area,2003,27955
Euro area,2004,29054
Euro area,2005,30077
Euro area,2006,32491
Euro area,2007,34377
Euro area,2008,35710
Euro area,2009,34814
Euro area,2010,35802
Euro area,2011,37438
Euro area,2012,37805
Euro area,2013,38985
Euro area,2014,39951
Euro area,2015,41036
Euro area,2016,43545
Euro area,2017,45745
Euro area,2018,49052
Euro area,2019,50675
Central Europe and the Baltics,1990,7097
Central Europe and the Baltics,1991,6653
Central Europe and the Baltics,1992,6685
Central Europe and the Baltics,1993,6956
Central Europe and the Baltics,1994,7394
Central Europe and the Baltics,1995,7975
Central Europe and the Baltics,1996,8379
Central Europe and the Baltics,1997,8700
Central Europe and the Baltics,1998,9094
Central Europe and the Baltics,1999,9393
Central Europe and the Baltics,2000,10016
Central Europe and the Baltics,2001,10799
Central Europe and the Baltics,2002,11625
Central Europe and the Baltics,2003,12322
Central Europe and the Baltics,2004,13463
Central Europe and the Baltics,2005,14302
Central Europe and the Baltics,2006,15890
Central Europe and the Baltics,2007,17727
Central Europe and the Baltics,2008,19661
Central Europe and the Baltics,2009,19701
Central Europe and the Baltics,2010,20802
Central Europe and the Baltics,2011,22181
Central Europe and the Baltics,2012,22963
Central Europe and the Baltics,2013,23954
Central Europe and the Baltics,2014,24970
Central Europe and the Baltics,2015,26122
Central Europe and the Baltics,2016,27858
Central Europe and the Baltics,2017,29975
Central Europe and the Baltics,2018,32915
Central Europe and the Baltics,2019,35131
