CountryName,Year,USD
AUT,1990,81049
AUT,1991,85840
AUT,1992,90733
AUT,1993,93193
AUT,1994,96857
AUT,1995,100089
AUT,1996,104974
AUT,1997,107445
AUT,1998,111901
AUT,1999,114549
AUT,2000,122796
AUT,2001,125176
AUT,2002,130389
AUT,2003,136347
AUT,2004,143575
AUT,2005,149904
AUT,2006,160029
AUT,2007,164106
AUT,2008,171924
AUT,2009,175997
AUT,2010,181210
AUT,2011,191942
AUT,2012,201681
AUT,2013,209858
AUT,2014,213990
AUT,2015,217724
AUT,2016,230845
AUT,2017,239973
AUT,2018,250904
AUT,2019,257735
AUT,2020,235802
BEL,1990,99338
BEL,1991,105728
BEL,1992,108478
BEL,1993,108884
BEL,1994,113992
BEL,1995,118531
BEL,1996,121288
BEL,1997,125164
BEL,1998,129511
BEL,1999,133231
BEL,2000,146572
BEL,2001,152654
BEL,2002,158337
BEL,2003,161106
BEL,2004,164513
BEL,2005,171081
BEL,2006,182193
BEL,2007,190063
BEL,2008,201722
BEL,2009,205346
BEL,2010,219046
BEL,2011,228343
BEL,2012,239152
BEL,2013,250664
BEL,2014,255750
BEL,2015,261910
BEL,2016,276678
BEL,2017,289413
BEL,2018,305196
BEL,2019,316423
BEL,2020,291718
CZE,1990,64731
CZE,1991,56857
CZE,1992,62668
CZE,1993,62267
CZE,1994,64215
CZE,1995,68611
CZE,1996,73443
CZE,1997,76959
CZE,1998,76606
CZE,1999,79384
CZE,2000,82874
CZE,2001,88538
CZE,2002,91569
CZE,2003,98229
CZE,2004,102637
CZE,2005,106457
CZE,2006,113314
CZE,2007,122855
CZE,2008,135879
CZE,2009,139266
CZE,2010,141513
CZE,2011,147954
CZE,2012,150043
CZE,2013,158503
CZE,2014,163098
CZE,2015,166335
CZE,2016,178189
CZE,2017,191815
CZE,2018,204027
CZE,2019,213202
CZE,2020,202634
ESP,1990,321722
ESP,1991,340380
ESP,1992,354944
ESP,1993,358604
ESP,1994,373312
ESP,1995,387306
ESP,1996,402112
ESP,1997,425190
ESP,1998,451299
ESP,1999,472882
ESP,2000,514286
ESP,2001,547126
ESP,2002,583020
ESP,2003,601901
ESP,2004,643072
ESP,2005,688783
ESP,2006,774584
ESP,2007,831507
ESP,2008,863818
ESP,2009,833375
ESP,2010,843027
ESP,2011,856128
ESP,2012,867341
ESP,2013,875573
ESP,2014,908248
ESP,2015,930460
ESP,2016,990163
ESP,2017,1055971
ESP,2018,1088687
ESP,2019,1119369
ESP,2020,981953
EST,1993,4959
EST,1994,5009
EST,1995,5093
EST,1996,5530
EST,1997,6351
EST,1998,6591
EST,1999,6427
EST,2000,7011
EST,2001,7659
EST,2002,8687
EST,2003,9674
EST,2004,10682
EST,2005,11943
EST,2006,13734
EST,2007,15188
EST,2008,15830
EST,2009,14148
EST,2010,14710
EST,2011,16007
EST,2012,17071
EST,2013,18161
EST,2014,18773
EST,2015,19214
EST,2016,20657
EST,2017,21710
EST,2018,23314
EST,2019,24397
EST,2020,24215
FIN,1990,43487
FIN,1991,44921
FIN,1992,45073
FIN,1993,45722
FIN,1994,47379
FIN,1995,48853
FIN,1996,50868
FIN,1997,53893
FIN,1998,57255
FIN,1999,59931
FIN,2000,63547
FIN,2001,65684
FIN,2002,68713
FIN,2003,71830
FIN,2004,76846
FIN,2005,79617
FIN,2006,86103
FIN,2007,92535
FIN,2008,100121
FIN,2009,100534
FIN,2010,104591
FIN,2011,111572
FIN,2012,113911
FIN,2013,116568
FIN,2014,118569
FIN,2015,121153
FIN,2016,128167
FIN,2017,133246
FIN,2018,139237
FIN,2019,143012
FIN,2020,134769
FRA,1990,551802
FRA,1991,574632
FRA,1992,596537
FRA,1993,609311
FRA,1994,632312
FRA,1995,654352
FRA,1996,679394
FRA,1997,698437
FRA,1998,733421
FRA,1999,761756
FRA,2000,827337
FRA,2001,881531
FRA,2002,917902
FRA,2003,917740
FRA,2004,951094
FRA,2005,1013479
FRA,2006,1081326
FRA,2007,1140543
FRA,2008,1189485
FRA,2009,1199305
FRA,2010,1246965
FRA,2011,1296344
FRA,2012,1303904
FRA,2013,1371760
FRA,2014,1390496
FRA,2015,1412537
FRA,2016,1493982
FRA,2017,1547944
FRA,2018,1619150
FRA,2019,1715523
FRA,2020,1582784
GBR,1990,634849
GBR,1991,657337
GBR,1992,687363
GBR,1993,726984
GBR,1994,769734
GBR,1995,744047
GBR,1996,797479
GBR,1997,859611
GBR,1998,892816
GBR,1999,930114
GBR,2000,1008001
GBR,2001,1060228
GBR,2002,1104444
GBR,2003,1143590
GBR,2004,1212326
GBR,2005,1234386
GBR,2006,1305785
GBR,2007,1343987
GBR,2008,1401618
GBR,2009,1347743
GBR,2010,1402803
GBR,2011,1446252
GBR,2012,1508582
GBR,2013,1595882
GBR,2014,1651316
GBR,2015,1714263
GBR,2016,1812498
GBR,2017,1880333
GBR,2018,1953353
GBR,2019,1999851
GBR,2020,1715894
GRC,1990,87076
GRC,1991,92461
GRC,1992,97501
GRC,1993,98816
GRC,1994,102764
GRC,1995,106794
GRC,1996,112533
GRC,1997,118097
GRC,1998,125541
GRC,1999,128334
GRC,2000,136689
GRC,2001,146041
GRC,2002,158539
GRC,2003,164453
GRC,2004,173656
GRC,2005,181328
GRC,2006,196142
GRC,2007,204506
GRC,2008,224744
GRC,2009,223592
GRC,2011,195139
GRC,2012,189825
GRC,2013,194814
GRC,2014,196279
GRC,2015,193619
GRC,2016,196991
GRC,2017,206730
GRC,2018,215422
GRC,2019,224005
GRC,2020,213047
HUN,1991,46755
HUN,1992,48559
HUN,1993,50572
HUN,1994,51547
HUN,1995,50122
HUN,1996,49986
HUN,1997,50966
HUN,1998,54103
HUN,1999,59012
HUN,2000,64167
HUN,2001,70754
HUN,2002,78429
HUN,2003,85916
HUN,2004,87737
HUN,2005,91674
HUN,2006,95745
HUN,2007,101245
HUN,2008,108415
HUN,2009,108044
HUN,2010,111426
HUN,2011,117993
HUN,2012,120423
HUN,2013,122720
HUN,2014,122956
HUN,2015,124978
HUN,2016,132726
HUN,2017,139381
HUN,2018,147313
HUN,2019,156365
HUN,2020,154655
IRL,1990,27197
IRL,1991,28872
IRL,1992,30377
IRL,1993,31063
IRL,1994,33373
IRL,1995,34861
IRL,1996,38291
IRL,1997,40771
IRL,1998,44544
IRL,1999,47335
IRL,2000,53178
IRL,2001,56600
IRL,2002,60755
IRL,2003,63329
IRL,2004,67650
IRL,2005,72176
IRL,2006,81217
IRL,2007,91104
IRL,2008,94006
IRL,2009,86967
IRL,2010,90906
IRL,2011,92366
IRL,2012,93828
IRL,2013,96833
IRL,2014,99250
IRL,2015,104489
IRL,2016,112353
IRL,2017,115876
IRL,2018,122133
IRL,2019,126476
IRL,2020,113939
ITA,1990,603570
ITA,1991,636438
ITA,1992,667459
ITA,1993,672035
ITA,1994,707459
ITA,1995,741493
ITA,1996,758949
ITA,1997,796057
ITA,1998,842963
ITA,1999,873260
ITA,2000,926313
ITA,2001,942625
ITA,2002,960904
ITA,2003,984244
ITA,2004,996360
ITA,2005,1027132
ITA,2006,1108865
ITA,2007,1166422
ITA,2008,1231516
ITA,2009,1225452
ITA,2010,1255203
ITA,2011,1316554
ITA,2012,1320094
ITA,2013,1320103
ITA,2014,1321125
ITA,2015,1349590
ITA,2016,1442640
ITA,2017,1503100
ITA,2018,1553907
ITA,2019,1592702
ITA,2020,1418139
LTU,1995,13679
LTU,1996,14682
LTU,1997,15458
LTU,1998,16815
LTU,1999,17848
LTU,2000,19129
LTU,2001,21304
LTU,2002,23096
LTU,2003,26344
LTU,2004,28447
LTU,2005,30969
LTU,2006,34423
LTU,2007,38885
LTU,2008,42787
LTU,2009,38783
LTU,2010,39746
LTU,2011,43084
LTU,2012,45715
LTU,2013,49088
LTU,2014,50990
LTU,2015,52142
LTU,2016,55737
LTU,2017,59175
LTU,2018,62456
LTU,2019,65344
LTU,2020,64990
LVA,1995,8915
LVA,1996,9612
LVA,1997,10488
LVA,1998,10787
LVA,1999,11466
LVA,2000,11834
LVA,2001,12979
LVA,2002,14240
LVA,2003,15399
LVA,2004,16872
LVA,2005,18598
LVA,2006,21854
LVA,2007,23512
LVA,2008,24048
LVA,2009,21537
LVA,2010,22986
LVA,2011,24536
LVA,2012,25942
LVA,2013,27827
LVA,2014,28389
LVA,2015,28906
LVA,2016,31035
LVA,2017,32903
LVA,2018,34298
LVA,2019,35929
LVA,2020,32823
NLD,1990,139767
NLD,1991,149061
NLD,1992,154390
NLD,1993,160203
NLD,1994,167644
NLD,1995,175882
NLD,1996,187699
NLD,1997,199623
NLD,1998,215442
NLD,1999,232123
NLD,2000,251772
NLD,2001,260972
NLD,2002,274130
NLD,2003,272372
NLD,2004,283564
NLD,2005,295007
NLD,2006,310829
NLD,2007,327434
NLD,2008,342368
NLD,2009,330654
NLD,2010,334226
NLD,2011,348527
NLD,2012,353998
NLD,2013,369607
NLD,2014,369469
NLD,2015,377013
NLD,2016,390258
NLD,2017,411174
NLD,2018,432838
NLD,2019,443978
NLD,2020,414432
NOR,1990,36139
NOR,1991,38773
NOR,1992,41799
NOR,1993,43914
NOR,1994,46935
NOR,1995,49449
NOR,1996,53938
NOR,1997,56636
NOR,1998,58113
NOR,1999,61637
NOR,2000,67591
NOR,2001,69859
NOR,2002,73947
NOR,2003,77100
NOR,2004,82925
NOR,2005,88639
NOR,2006,97059
NOR,2007,101924
NOR,2008,107942
NOR,2009,107748
NOR,2010,113549
NOR,2011,118084
NOR,2012,124075
NOR,2013,130182
NOR,2014,131873
NOR,2015,129042
NOR,2016,133074
NOR,2017,142837
NOR,2018,150721
NOR,2019,153392
